intertidal_sitename,site_code,survey_rep,year,month,day,section,transect,location,radius_mm,disease_category,final_classification,count
Bodega,14,1,2001,7,8,1,14,22.5,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,1,14,23,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,1,14,24,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,2,18,11,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,18,13.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,18,14,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,18,15.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,18,17,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,18,21,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,18,22.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,18,23.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,18,25,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,18,26,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,18,26.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,18,27,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,18,28,NM,NA,pisaster ochraceus,6
Bodega,14,1,2001,7,8,2,18,28.5,NM,NA,pisaster ochraceus,10
Bodega,14,1,2001,7,8,2,18,29,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,2,18,31.5,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,2,18,32,NM,NA,pisaster ochraceus,4
Bodega,14,1,2001,7,8,2,18,33,NM,NA,pisaster ochraceus,7
Bodega,14,1,2001,7,8,2,18,33.5,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,2,18,34,NM,NA,pisaster ochraceus,10
Bodega,14,1,2001,7,8,2,18,34.5,NM,NA,pisaster ochraceus,9
Bodega,14,1,2001,7,8,2,18,35,NM,NA,pisaster ochraceus,7
Bodega,14,1,2001,7,8,2,18,35.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,18,36,NM,NA,pisaster ochraceus,8
Bodega,14,1,2001,7,8,2,18,36.5,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,2,18,37,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,2,18,37.5,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,2,18,38,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,18,38.5,NM,NA,pisaster ochraceus,6
Bodega,14,1,2001,7,8,2,18,39.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,18,40,NM,NA,pisaster ochraceus,4
Bodega,14,1,2001,7,8,2,18,40.5,NM,NA,pisaster ochraceus,5
Bodega,14,1,2001,7,8,2,18,41,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,18,41.5,NM,NA,pisaster ochraceus,6
Bodega,14,1,2001,7,8,2,18,42.5,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,2,21,9,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,21,16.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,21,17,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,21,20,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,2,21,21,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,21,22,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,21,23,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,2,21,24,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,2,21,24.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,21,25,NM,NA,pisaster ochraceus,6
Bodega,14,1,2001,7,8,2,21,25.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,21,27,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,21,27.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,21,28,NM,NA,pisaster ochraceus,6
Bodega,14,1,2001,7,8,2,21,28.5,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,2,21,29,NM,NA,pisaster ochraceus,4
Bodega,14,1,2001,7,8,2,21,30,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,2,21,30.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,21,31,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,2,21,31.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,21,32,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,2,21,33,NM,NA,pisaster ochraceus,5
Bodega,14,1,2001,7,8,2,21,33.5,NM,NA,pisaster ochraceus,8
Bodega,14,1,2001,7,8,2,21,34,NM,NA,pisaster ochraceus,6
Bodega,14,1,2001,7,8,2,21,34.5,NM,NA,pisaster ochraceus,6
Bodega,14,1,2001,7,8,2,21,35,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,21,36,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,2,21,36.5,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,2,21,37,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,2,21,37.5,NM,NA,pisaster ochraceus,5
Bodega,14,1,2001,7,8,2,21,38,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,2,21,38.5,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,2,21,39,NM,NA,pisaster ochraceus,4
Bodega,14,1,2001,7,8,2,21,39.5,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,2,21,40,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,2,21,40.5,NM,NA,pisaster ochraceus,6
Bodega,14,1,2001,7,8,2,21,41,NM,NA,pisaster ochraceus,12
Bodega,14,1,2001,7,8,2,21,42.5,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,2,21,43,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,24,7.5,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,2,24,13,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,24,15,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,24,15.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,24,16.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,24,18.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,24,27,NM,NA,pisaster ochraceus,5
Bodega,14,1,2001,7,8,2,24,28,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,2,24,29,NM,NA,pisaster ochraceus,6
Bodega,14,1,2001,7,8,2,24,30.5,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,2,24,31,NM,NA,pisaster ochraceus,9
Bodega,14,1,2001,7,8,2,24,31.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,24,32,NM,NA,pisaster ochraceus,7
Bodega,14,1,2001,7,8,2,24,33.5,NM,NA,pisaster ochraceus,9
Bodega,14,1,2001,7,8,2,24,34.5,NM,NA,pisaster ochraceus,7
Bodega,14,1,2001,7,8,2,24,35,NM,NA,pisaster ochraceus,9
Bodega,14,1,2001,7,8,2,24,35.5,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,2,24,36,NM,NA,pisaster ochraceus,5
Bodega,14,1,2001,7,8,2,24,36.5,NM,NA,pisaster ochraceus,5
Bodega,14,1,2001,7,8,2,24,37,NM,NA,pisaster ochraceus,4
Bodega,14,1,2001,7,8,2,24,37.5,NM,NA,pisaster ochraceus,6
Bodega,14,1,2001,7,8,2,24,38,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,2,24,38.5,NM,NA,pisaster ochraceus,8
Bodega,14,1,2001,7,8,2,24,39,NM,NA,pisaster ochraceus,6
Bodega,14,1,2001,7,8,2,24,39.5,NM,NA,pisaster ochraceus,8
Bodega,14,1,2001,7,8,2,24,40,NM,NA,pisaster ochraceus,9
Bodega,14,1,2001,7,8,2,24,40.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,24,41,NM,NA,pisaster ochraceus,5
Bodega,14,1,2001,7,8,2,24,41.5,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,2,24,42,NM,NA,pisaster ochraceus,9
Bodega,14,1,2001,7,8,2,24,42.5,NM,NA,pisaster ochraceus,16
Bodega,14,1,2001,7,8,2,27,7,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,27,8.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,27,15.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,27,16,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,27,17,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,27,28.5,NM,NA,pisaster ochraceus,8
Bodega,14,1,2001,7,8,2,27,29.5,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,2,27,31,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,2,27,31.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,27,32,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,2,27,32.5,NM,NA,pisaster ochraceus,6
Bodega,14,1,2001,7,8,2,27,33,NM,NA,pisaster ochraceus,5
Bodega,14,1,2001,7,8,2,27,33.5,NM,NA,pisaster ochraceus,4
Bodega,14,1,2001,7,8,2,27,34.5,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,2,27,35,NM,NA,pisaster ochraceus,6
Bodega,14,1,2001,7,8,2,27,35.5,NM,NA,pisaster ochraceus,4
Bodega,14,1,2001,7,8,2,27,36,NM,NA,pisaster ochraceus,4
Bodega,14,1,2001,7,8,2,27,36.5,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,2,27,37,NM,NA,pisaster ochraceus,7
Bodega,14,1,2001,7,8,2,27,37.5,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,2,27,38,NM,NA,pisaster ochraceus,8
Bodega,14,1,2001,7,8,2,27,38.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,27,39,NM,NA,pisaster ochraceus,8
Bodega,14,1,2001,7,8,2,27,39.5,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,2,27,40,NM,NA,pisaster ochraceus,4
Bodega,14,1,2001,7,8,2,27,40.5,NM,NA,pisaster ochraceus,5
Bodega,14,1,2001,7,8,2,27,41,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,27,41.5,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,2,27,42,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,27,42.5,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,2,30,4,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,30,9.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,30,17,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,30,17.5,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,2,30,18,NM,NA,pisaster ochraceus,5
Bodega,14,1,2001,7,8,2,30,28.5,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,2,30,29,NM,NA,pisaster ochraceus,6
Bodega,14,1,2001,7,8,2,30,29.5,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,2,30,30,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,30,31,NM,NA,pisaster ochraceus,8
Bodega,14,1,2001,7,8,2,30,32.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,30,33,NM,NA,pisaster ochraceus,6
Bodega,14,1,2001,7,8,2,30,33.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,30,34,NM,NA,pisaster ochraceus,16
Bodega,14,1,2001,7,8,2,30,34.5,NM,NA,pisaster ochraceus,13
Bodega,14,1,2001,7,8,2,30,35,NM,NA,pisaster ochraceus,5
Bodega,14,1,2001,7,8,2,30,35.5,NM,NA,pisaster ochraceus,4
Bodega,14,1,2001,7,8,2,30,36,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,2,30,36.5,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,2,30,37,NM,NA,pisaster ochraceus,13
Bodega,14,1,2001,7,8,2,30,37.5,NM,NA,pisaster ochraceus,7
Bodega,14,1,2001,7,8,2,30,38.5,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,2,30,39.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,30,40,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,2,30,40.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,30,41.5,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,1,0,2,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,1,0,5,NM,NA,pisaster ochraceus,2
Bodega,14,2,2003,6,1,1,0,5.5,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,1,0,6.5,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,1,0,9,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,1,0,10,NM,NA,pisaster ochraceus,7
Bodega,14,2,2003,6,1,1,0,13,NM,NA,pisaster ochraceus,2
Bodega,14,2,2003,6,1,1,3,10,NM,NA,pisaster ochraceus,9
Bodega,14,2,2003,6,1,1,3,14,NM,NA,pisaster ochraceus,3
Bodega,14,2,2003,6,1,1,3,14.5,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,1,3,18,NM,NA,pisaster ochraceus,3
Bodega,14,2,2003,6,1,1,3,19.5,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,1,3,20,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,1,6,12,NM,NA,pisaster ochraceus,12
Bodega,14,2,2003,6,1,1,6,18,NM,NA,pisaster ochraceus,4
Bodega,14,2,2003,6,1,1,6,19,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,1,6,22,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,1,9,13.5,NM,NA,pisaster ochraceus,14
Bodega,14,2,2003,6,1,1,9,19.5,NM,NA,pisaster ochraceus,16
Bodega,14,2,2003,6,1,1,9,20,NM,NA,pisaster ochraceus,5
Bodega,14,2,2003,6,1,1,9,23,NM,NA,pisaster ochraceus,3
Bodega,14,2,2003,6,1,1,12,15,NM,NA,pisaster ochraceus,8
Bodega,14,2,2003,6,1,1,12,15.5,NM,NA,pisaster ochraceus,7
Bodega,14,2,2003,6,1,1,12,16,NM,NA,pisaster ochraceus,6
Bodega,14,2,2003,6,1,1,12,21,NM,NA,pisaster ochraceus,6
Bodega,14,2,2003,6,1,1,14,6,NM,NA,pisaster ochraceus,5
Bodega,14,2,2003,6,1,1,14,16.5,NM,NA,pisaster ochraceus,12
Bodega,14,2,2003,6,1,1,14,17,NM,NA,pisaster ochraceus,10
Bodega,14,2,2003,6,1,2,18,8,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,2,18,8.5,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,2,18,13.5,NM,NA,pisaster ochraceus,3
Bodega,14,2,2003,6,1,2,18,23,NM,NA,pisaster ochraceus,2
Bodega,14,2,2003,6,1,2,18,23.5,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,2,18,26,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,2,18,28.5,NM,NA,pisaster ochraceus,2
Bodega,14,2,2003,6,1,2,18,29,NM,NA,pisaster ochraceus,2
Bodega,14,2,2003,6,1,2,18,30,NM,NA,pisaster ochraceus,2
Bodega,14,2,2003,6,1,2,18,31,NM,NA,pisaster ochraceus,2
Bodega,14,2,2003,6,1,2,18,31.5,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,2,18,33.5,NM,NA,pisaster ochraceus,4
Bodega,14,2,2003,6,1,2,18,34,NM,NA,pisaster ochraceus,8
Bodega,14,2,2003,6,1,2,18,34.5,NM,NA,pisaster ochraceus,3
Bodega,14,2,2003,6,1,2,18,35,NM,NA,pisaster ochraceus,2
Bodega,14,2,2003,6,1,2,18,36,NM,NA,pisaster ochraceus,4
Bodega,14,2,2003,6,1,2,18,36.5,NM,NA,pisaster ochraceus,4
Bodega,14,2,2003,6,1,2,18,37.5,NM,NA,pisaster ochraceus,2
Bodega,14,2,2003,6,1,2,18,38.5,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,2,21,19,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,2,21,28,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,2,21,29,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,2,21,29.5,NM,NA,pisaster ochraceus,3
Bodega,14,2,2003,6,1,2,21,30,NM,NA,pisaster ochraceus,3
Bodega,14,2,2003,6,1,2,21,30.5,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,2,21,31,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,2,21,32,NM,NA,pisaster ochraceus,2
Bodega,14,2,2003,6,1,2,21,33,NM,NA,pisaster ochraceus,2
Bodega,14,2,2003,6,1,2,21,33.5,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,2,21,34,NM,NA,pisaster ochraceus,3
Bodega,14,2,2003,6,1,2,21,34.5,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,2,21,35,NM,NA,pisaster ochraceus,3
Bodega,14,2,2003,6,1,2,21,35.5,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,2,21,36,NM,NA,pisaster ochraceus,2
Bodega,14,2,2003,6,1,2,21,36.5,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,2,21,37,NM,NA,pisaster ochraceus,3
Bodega,14,2,2003,6,1,2,21,37.5,NM,NA,pisaster ochraceus,6
Bodega,14,2,2003,6,1,2,21,39,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,2,24,7,NM,NA,pisaster ochraceus,2
Bodega,14,2,2003,6,1,2,24,10.5,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,2,24,12,NM,NA,pisaster ochraceus,3
Bodega,14,2,2003,6,1,2,24,14,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,2,24,26.5,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,2,24,27,NM,NA,pisaster ochraceus,2
Bodega,14,2,2003,6,1,2,24,29,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,2,24,29.5,NM,NA,pisaster ochraceus,6
Bodega,14,2,2003,6,1,2,24,30,NM,NA,pisaster ochraceus,9
Bodega,14,2,2003,6,1,2,24,30.5,NM,NA,pisaster ochraceus,2
Bodega,14,2,2003,6,1,2,24,31,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,2,24,32,NM,NA,pisaster ochraceus,3
Bodega,14,2,2003,6,1,2,24,33,NM,NA,pisaster ochraceus,2
Bodega,14,2,2003,6,1,2,24,33.5,NM,NA,pisaster ochraceus,6
Bodega,14,2,2003,6,1,2,24,34,NM,NA,pisaster ochraceus,8
Bodega,14,2,2003,6,1,2,24,34.5,NM,NA,pisaster ochraceus,8
Bodega,14,2,2003,6,1,2,24,35,NM,NA,pisaster ochraceus,4
Bodega,14,2,2003,6,1,2,24,35.5,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,2,24,36,NM,NA,pisaster ochraceus,7
Bodega,14,2,2003,6,1,2,24,36.5,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,2,24,37,NM,NA,pisaster ochraceus,3
Bodega,14,2,2003,6,1,2,24,37.5,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,2,24,38,NM,NA,pisaster ochraceus,2
Bodega,14,2,2003,6,1,2,24,38.5,NM,NA,pisaster ochraceus,3
Bodega,14,2,2003,6,1,2,27,15,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,2,27,16,NM,NA,pisaster ochraceus,3
Bodega,14,2,2003,6,1,2,27,16.5,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,2,27,17,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,2,27,29,NM,NA,pisaster ochraceus,6
Bodega,14,2,2003,6,1,2,27,30.5,NM,NA,pisaster ochraceus,2
Bodega,14,2,2003,6,1,2,27,32,NM,NA,pisaster ochraceus,7
Bodega,14,2,2003,6,1,2,27,32.5,NM,NA,pisaster ochraceus,2
Bodega,14,2,2003,6,1,2,27,33.5,NM,NA,pisaster ochraceus,1
Bodega,14,2,2003,6,1,2,27,34,NM,NA,pisaster ochraceus,3
Bodega,14,2,2003,6,1,2,27,34.5,NM,NA,pisaster ochraceus,2
Bodega,14,2,2003,6,1,2,27,35,NM,NA,pisaster ochraceus,3
Bodega,14,2,2003,6,1,2,27,35.5,NM,NA,pisaster ochraceus,2
Bodega,14,2,2003,6,1,2,27,36,NM,NA,pisaster ochraceus,2
Bodega,14,2,2003,6,1,2,27,36.5,NM,NA,pisaster ochraceus,6
Bodega,14,2,2003,6,1,2,27,37,NM,NA,pisaster ochraceus,17
Bodega,14,2,2003,6,1,2,27,37.5,NM,NA,pisaster ochraceus,5
Bodega,14,2,2003,6,1,2,27,38,NM,NA,pisaster ochraceus,5
Bodega,14,2,2003,6,1,2,27,38.5,NM,NA,pisaster ochraceus,2
Bodega,14,2,2003,6,1,2,27,40,NM,NA,pisaster ochraceus,2
