intertidal_sitename,cbsLat,cbsLong,georegion,bioregion,State_Province,Island,MPA_name,MPA_designation,NMS_name,ASBS_name,site_code,survey_rep,year,species,total_count,number_of_quadrats_sampled,total_area_sampled_m2,density_per_m2
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Pugettia producta,2,33,8.25,0.242424242
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Roperia poulsoni,2,33,8.25,0.242424242
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Tegula aureotincta,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Tegula brunnea,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Tegula eiseni,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Tegula funebralis,285,33,8.25,34.54545455
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Tegula gallina/funebralis,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Acanthinucella spp,31,33,8.25,3.757575758
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Alia spp,2,33,8.25,0.242424242
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Amphissa columbiana,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Amphissa versicolor,1,33,8.25,0.121212121
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Californiconus californicus,2,33,8.25,0.242424242
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Cancer antennarius,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Ceratostoma nuttalli,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Crepipatella lingulata,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Epitonium tinctum,3,33,8.25,0.363636364
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Hemigrapsus nudus,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Homalopoma spp,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Kelletia kelletii,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Lacuna spp,41,33,8.25,4.96969697
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Leptasterias spp,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Lirularia/Margarites spp,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Littorina spp.,648,33,8.25,78.54545455
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Littorina spp.,648,33,8.25,78.54545455
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Littorina spp.,648,33,8.25,78.54545455
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Macron lividus,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Megastraea undosa,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Mexacanthina lugubris,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Nucella canaliculata,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Nucella emarginata/ostrina,13,33,8.25,1.575757576
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Ocenebra circumtexta,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Oedignathus inermis,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Olivella biplicata,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Opalia funiculata,8,33,8.25,0.96969697
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Pachycheles spp,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Pachygrapsus crassipes,8,33,8.25,0.96969697
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Pagurus granosimanus,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Pagurus hirsutiusculus,11,33,8.25,1.333333333
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Pagurus samuelis,5,33,8.25,0.606060606
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Petrolisthes spp,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Pisaster ochraceus,3,33,8.25,0.363636364
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Pugettia gracilis/richii,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Pugettia producta,3,33,8.25,0.363636364
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Roperia poulsoni,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Tegula aureotincta,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Tegula brunnea,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Tegula eiseni,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Tegula funebralis,100,33,8.25,12.12121212
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Tegula gallina/funebralis,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Acanthinucella spp,28,33,8.25,3.393939394
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Alia spp,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Amphissa columbiana,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Amphissa versicolor,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Californiconus californicus,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Cancer antennarius,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Ceratostoma nuttalli,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Crepipatella lingulata,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Epitonium tinctum,4,33,8.25,0.484848485
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Hemigrapsus nudus,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Homalopoma spp,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Kelletia kelletii,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Lacuna spp,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Leptasterias spp,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Lirularia/Margarites spp,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Littorina spp.,537,33,8.25,65.09090909
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Littorina spp.,537,33,8.25,65.09090909
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Littorina spp.,537,33,8.25,65.09090909
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Macron lividus,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Megastraea undosa,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Mexacanthina lugubris,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Nucella canaliculata,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Nucella emarginata/ostrina,21,33,8.25,2.545454546
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Ocenebra circumtexta,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Oedignathus inermis,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Olivella biplicata,1,33,8.25,0.121212121
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Opalia funiculata,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Pachycheles spp,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Pachygrapsus crassipes,7,33,8.25,0.848484849
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Pagurus granosimanus,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Pagurus hirsutiusculus,2,33,8.25,0.242424242
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Pagurus samuelis,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Petrolisthes spp,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Pisaster ochraceus,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Pugettia gracilis/richii,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Pugettia producta,1,33,8.25,0.121212121
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Roperia poulsoni,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Tegula aureotincta,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Tegula brunnea,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Tegula eiseni,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Tegula funebralis,246,33,8.25,29.81818182
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Tegula gallina/funebralis,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Acanthinucella spp,8,33,8.25,0.96969697
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Alia spp,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Amphissa columbiana,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Amphissa versicolor,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Californiconus californicus,1,33,8.25,0.121212121
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Cancer antennarius,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Ceratostoma nuttalli,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Crepipatella lingulata,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Epitonium tinctum,5,33,8.25,0.606060606
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Hemigrapsus nudus,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Homalopoma spp,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Kelletia kelletii,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Lacuna spp,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Leptasterias spp,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Lirularia/Margarites spp,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Littorina spp.,307,33,8.25,37.21212121
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Littorina spp.,307,33,8.25,37.21212121
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Littorina spp.,307,33,8.25,37.21212121
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Macron lividus,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Megastraea undosa,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Mexacanthina lugubris,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Nucella canaliculata,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Nucella emarginata/ostrina,69,33,8.25,8.363636364
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Ocenebra circumtexta,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Oedignathus inermis,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Olivella biplicata,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Opalia funiculata,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Pachycheles spp,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Pachygrapsus crassipes,5,33,8.25,0.606060606
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Pagurus granosimanus,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Pagurus hirsutiusculus,5,33,8.25,0.606060606
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Pagurus samuelis,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Petrolisthes spp,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Pisaster ochraceus,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Pugettia gracilis/richii,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Pugettia producta,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Roperia poulsoni,1,33,8.25,0.121212121
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Tegula aureotincta,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Tegula brunnea,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Tegula eiseni,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Tegula funebralis,533,33,8.25,64.60606061
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Tegula gallina/funebralis,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,6,2016,Acanthinucella spp,3,33,8.25,0.363636364
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,6,2016,Alia spp,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,6,2016,Amphissa columbiana,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,6,2016,Amphissa versicolor,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,6,2016,Californiconus californicus,1,33,8.25,0.121212121
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,6,2016,Cancer antennarius,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,6,2016,Ceratostoma nuttalli,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,6,2016,Crepipatella lingulata,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,6,2016,Epitonium tinctum,11,33,8.25,1.333333333
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,6,2016,Hemigrapsus nudus,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,6,2016,Homalopoma spp,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,6,2016,Kelletia kelletii,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,6,2016,Lacuna spp,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,6,2016,Leptasterias spp,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,6,2016,Lirularia/Margarites spp,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,6,2016,Littorina spp.,2955,33,8.25,358.1818182
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,6,2016,Littorina spp.,2955,33,8.25,358.1818182
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,6,2016,Littorina spp.,2955,33,8.25,358.1818182
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,6,2016,Macron lividus,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,6,2016,Megastraea undosa,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,6,2016,Mexacanthina lugubris,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,6,2016,Nucella canaliculata,0,33,8.25,0
