intertidal_sitename,cbsLat,cbsLong,georegion,bioregion,State_Province,Island,MPA_name,MPA_designation,NMS_name,ASBS_name,site_code,survey_rep,year,species_lump,total_count,number_of_transects,est_swath_area_searched_m2,density_per_m2
Ecola,45.91810194,-123.9805046,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,,,,,5,1,2001,Pisaster ochraceus,186,10,659.32,0.282108839
Ecola,45.91810194,-123.9805046,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,,,,,5,2,2005,Pisaster ochraceus,316,10,658.64,0.479776509
Ecola,45.91810194,-123.9805046,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,,,,,5,3,2014,Pisaster ochraceus,72,10,636,0.113207547
Ecola,45.91810194,-123.9805046,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,,,,,5,4,2016,Pisaster ochraceus,128,10,244.6,0.523303352
Ecola,45.91810194,-123.9805046,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,,,,,5,5,2019,Pisaster ochraceus,158,10,636,0.248427673
Fogarty Creek,44.83708449,-124.0577834,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,Cavalier Comparison Area,reference,,,6,1,2001,Pisaster ochraceus,373,11,1275,0.29254902
Fogarty Creek,44.83708449,-124.0577834,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,Cavalier Comparison Area,reference,,,6,2,2003,Pisaster ochraceus,661,11,1275,0.518431373
Fogarty Creek,44.83708449,-124.0577834,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,Cavalier Comparison Area,reference,,,6,3,2004,Pisaster ochraceus,417,11,1278,0.32629108
Fogarty Creek,44.83708449,-124.0577834,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,Cavalier Comparison Area,reference,,,6,4,2013,Pisaster ochraceus,334,11,1264,0.264240506
Fogarty Creek,44.83708449,-124.0577834,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,Cavalier Comparison Area,reference,,,6,5,2015,Pisaster ochraceus,72,11,1193,0.060352054
Fogarty Creek,44.83708449,-124.0577834,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,Cavalier Comparison Area,reference,,,6,6,2016,Pisaster ochraceus,209,11,1167,0.179091688
Fogarty Creek,44.83708449,-124.0577834,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,Cavalier Comparison Area,reference,,,6,7,2019,Pisaster ochraceus,169,11,1280,0.13203125
Bob Creek,44.2446404,-124.1143035,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,Cape Perpetua Marine Reserve,MR,,,7,1,2001,Pisaster ochraceus,457,11,673.3,0.678746473
Bob Creek,44.2446404,-124.1143035,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,Cape Perpetua Marine Reserve,MR,,,7,2,2007,Pisaster ochraceus,149,11,669.3,0.222620648
Bob Creek,44.2446404,-124.1143035,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,Cape Perpetua Marine Reserve,MR,,,7,3,2013,Pisaster ochraceus,273,11,653.96,0.417456725
Bob Creek,44.2446404,-124.1143035,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,Cape Perpetua Marine Reserve,MR,,,7,4,2015,Pisaster ochraceus,164,11,670.92,0.24444047
Bob Creek,44.2446404,-124.1143035,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,Cape Perpetua Marine Reserve,MR,,,7,5,2016,Pisaster ochraceus,147,11,671,0.219076006
Bob Creek,44.2446404,-124.1143035,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,Cape Perpetua Marine Reserve,MR,,,7,6,2019,Pisaster ochraceus,823,11,678,1.213864307
Cape Arago,43.30891446,-124.4005323,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,,,,,8,1,2001,Pisaster ochraceus,109,11,410.2,0.265724037
Cape Arago,43.30891446,-124.4005323,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,,,,,8,2,2005,Pisaster ochraceus,72,11,410.8,0.17526777
Cape Arago,43.30891446,-124.4005323,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,,,,,8,3,2013,Pisaster ochraceus,71,11,354.2,0.200451722
Cape Arago,43.30891446,-124.4005323,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,,,,,8,4,2015,Pisaster ochraceus,14,11,411.4,0.034030141
Cape Arago,43.30891446,-124.4005323,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,,,,,8,5,2016,Pisaster ochraceus,50,11,411.6,0.121477162
Cape Arago,43.30891446,-124.4005323,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,,,,,8,6,2019,Pisaster ochraceus,63,11,411.8,0.152986887
Burnt Hill,42.22819108,-124.3879989,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,,,,,9,1,2002,Pisaster ochraceus,1712,11,616.5,2.776966748
Burnt Hill,42.22819108,-124.3879989,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,,,,,9,2,2006,Pisaster ochraceus,583,11,616,0.946428571
Burnt Hill,42.22819108,-124.3879989,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,,,,,9,3,2013,Pisaster ochraceus,813,11,608,1.337171053
Cape Mendocino,40.34117913,-124.363028,CA North,WA Olympic Coast to San Francisco,California,Mainland,,,,,10,1,2002,Pisaster ochraceus,287,11,1406.4,0.204067122
Cape Mendocino,40.34117913,-124.363028,CA North,WA Olympic Coast to San Francisco,California,Mainland,,,,,10,2,2006,Pisaster ochraceus,155,11,1407.6,0.11011651
Cape Mendocino,40.34117913,-124.363028,CA North,WA Olympic Coast to San Francisco,California,Mainland,,,,,10,3,2015,Pisaster ochraceus,48,11,1320,0.036363636
Shelter Cove,40.02274142,-124.073876,CA North,WA Olympic Coast to San Francisco,California,Mainland,,,,King Range ASBS,11,1,2001,Pisaster ochraceus,260,11,1100,0.236363636
Shelter Cove,40.02274142,-124.073876,CA North,WA Olympic Coast to San Francisco,California,Mainland,,,,King Range ASBS,11,2,2006,Pisaster ochraceus,972,11,1100,0.883636364
Shelter Cove,40.02274142,-124.073876,CA North,WA Olympic Coast to San Francisco,California,Mainland,,,,King Range ASBS,11,3,2014,Pisaster ochraceus,26,11,1100,0.023636364
Kibesillah Hill,39.60413211,-123.788848,CA North,WA Olympic Coast to San Francisco,California,Mainland,,,,,12,1,2001,Pisaster ochraceus,166,11,1800,0.092222222
Kibesillah Hill,39.60413211,-123.788848,CA North,WA Olympic Coast to San Francisco,California,Mainland,,,,,12,2,2003,Pisaster ochraceus,1266,11,1934.4,0.654466501
Kibesillah Hill,39.60413211,-123.788848,CA North,WA Olympic Coast to San Francisco,California,Mainland,,,,,12,3,2007,Pisaster ochraceus,607,11,1822.4,0.333077261
Kibesillah Hill,39.60413211,-123.788848,CA North,WA Olympic Coast to San Francisco,California,Mainland,,,,,12,4,2014,Pisaster ochraceus,112,11,1894.4,0.059121622
Kibesillah Hill,39.60413211,-123.788848,CA North,WA Olympic Coast to San Francisco,California,Mainland,,,,,12,5,2018,Pisaster ochraceus,345,11,1918.4,0.179837365
Sea Ranch,38.73049739,-123.4886042,CA North Central,WA Olympic Coast to San Francisco,California,Mainland,,reference,,,13,1,2001,Pisaster ochraceus,432,11,1086,0.397790055
Sea Ranch,38.73049739,-123.4886042,CA North Central,WA Olympic Coast to San Francisco,California,Mainland,,reference,,,13,2,2005,Pisaster ochraceus,241,11,1093,0.220494053
Sea Ranch,38.73049739,-123.4886042,CA North Central,WA Olympic Coast to San Francisco,California,Mainland,,reference,,,13,3,2010,Pisaster ochraceus,136,6,598,0.227424749
Sea Ranch,38.73049739,-123.4886042,CA North Central,WA Olympic Coast to San Francisco,California,Mainland,,reference,,,13,4,2018,Pisaster ochraceus,298,11,1098,0.27140255
Sea Ranch,38.73049739,-123.4886042,CA North Central,WA Olympic Coast to San Francisco,California,Mainland,,reference,,,13,5,2019,Pisaster ochraceus,237,11,1030,0.230097087
Bodega,38.31819355,-123.0736465,CA North Central,WA Olympic Coast to San Francisco,California,Mainland,Bodega Head SMR,SMR,,Bodega Marine Life Refuge ASBS,14,1,2001,Pisaster ochraceus,830,11,702.8,1.180990324
Bodega,38.31819355,-123.0736465,CA North Central,WA Olympic Coast to San Francisco,California,Mainland,Bodega Head SMR,SMR,,Bodega Marine Life Refuge ASBS,14,2,2003,Pisaster ochraceus,429,11,644.4,0.665735568
Bodega,38.31819355,-123.0736465,CA North Central,WA Olympic Coast to San Francisco,California,Mainland,Bodega Head SMR,SMR,,Bodega Marine Life Refuge ASBS,14,3,2004,Pisaster ochraceus,413,11,688.8,0.599593496
Bodega,38.31819355,-123.0736465,CA North Central,WA Olympic Coast to San Francisco,California,Mainland,Bodega Head SMR,SMR,,Bodega Marine Life Refuge ASBS,14,4,2010,Pisaster ochraceus,296,6,392.8,0.753564155
Bodega,38.31819355,-123.0736465,CA North Central,WA Olympic Coast to San Francisco,California,Mainland,Bodega Head SMR,SMR,,Bodega Marine Life Refuge ASBS,14,5,2012,Pisaster ochraceus,227,11,698,0.3252149
Bodega,38.31819355,-123.0736465,CA North Central,WA Olympic Coast to San Francisco,California,Mainland,Bodega Head SMR,SMR,,Bodega Marine Life Refuge ASBS,14,6,2016,Pisaster ochraceus,169,6,270,0.625925926
Bodega,38.31819355,-123.0736465,CA North Central,WA Olympic Coast to San Francisco,California,Mainland,Bodega Head SMR,SMR,,Bodega Marine Life Refuge ASBS,14,7,2017,Pisaster ochraceus,526,11,706.4,0.744620612
Bodega,38.31819355,-123.0736465,CA North Central,WA Olympic Coast to San Francisco,California,Mainland,Bodega Head SMR,SMR,,Bodega Marine Life Refuge ASBS,14,8,2018,Pisaster ochraceus,143,6,277,0.516245487
Bodega,38.31819355,-123.0736465,CA North Central,WA Olympic Coast to San Francisco,California,Mainland,Bodega Head SMR,SMR,,Bodega Marine Life Refuge ASBS,14,9,2019,Pisaster ochraceus,692,11,685.2,1.00992411
Santa Maria Creek,38.01244388,-122.8493835,CA North Central,WA Olympic Coast to San Francisco,California,Mainland,,reference,Gulf of the Farallones NMS,,15,1,2002,Pisaster ochraceus,57,11,756.62,0.075335043
Santa Maria Creek,38.01244388,-122.8493835,CA North Central,WA Olympic Coast to San Francisco,California,Mainland,,reference,Gulf of the Farallones NMS,,15,2,2005,Pisaster ochraceus,355,11,755.96,0.469601566
Santa Maria Creek,38.01244388,-122.8493835,CA North Central,WA Olympic Coast to San Francisco,California,Mainland,,reference,Gulf of the Farallones NMS,,15,3,2010,Pisaster ochraceus,63,6,420,0.15
Santa Maria Creek,38.01244388,-122.8493835,CA North Central,WA Olympic Coast to San Francisco,California,Mainland,,reference,Gulf of the Farallones NMS,,15,4,2013,Pisaster ochraceus,30,11,768,0.0390625
Santa Maria Creek,38.01244388,-122.8493835,CA North Central,WA Olympic Coast to San Francisco,California,Mainland,,reference,Gulf of the Farallones NMS,,15,5,2015,Pisaster ochraceus,160,11,757.4,0.21124901
Santa Maria Creek,38.01244388,-122.8493835,CA North Central,WA Olympic Coast to San Francisco,California,Mainland,,reference,Gulf of the Farallones NMS,,15,6,2018,Pisaster ochraceus,460,11,774,0.594315246
Bolinas Point,37.9045432,-122.727315,CA North Central,WA Olympic Coast to San Francisco,California,Mainland,Duxbury Reef SMCA,SMCA,Gulf of the Farallones NMS,Duxbury Reef Reserve and Extension ASBS,16,1,2002,Pisaster ochraceus,53,11,3879,0.013663315
Bolinas Point,37.9045432,-122.727315,CA North Central,WA Olympic Coast to San Francisco,California,Mainland,Duxbury Reef SMCA,SMCA,Gulf of the Farallones NMS,Duxbury Reef Reserve and Extension ASBS,16,2,2005,Pisaster ochraceus,52,11,3882,0.013395157
Bolinas Point,37.9045432,-122.727315,CA North Central,WA Olympic Coast to San Francisco,California,Mainland,Duxbury Reef SMCA,SMCA,Gulf of the Farallones NMS,Duxbury Reef Reserve and Extension ASBS,16,3,2005,Pisaster ochraceus,17,11,3444,0.004936121
Bolinas Point,37.9045432,-122.727315,CA North Central,WA Olympic Coast to San Francisco,California,Mainland,Duxbury Reef SMCA,SMCA,Gulf of the Farallones NMS,Duxbury Reef Reserve and Extension ASBS,16,4,2008,Pisaster ochraceus,28,11,2025,0.013827161
Bolinas Point,37.9045432,-122.727315,CA North Central,WA Olympic Coast to San Francisco,California,Mainland,Duxbury Reef SMCA,SMCA,Gulf of the Farallones NMS,Duxbury Reef Reserve and Extension ASBS,16,5,2013,Pisaster ochraceus,2,11,3759,0.000532056
Fitzgerald Marine Reserve,37.52164671,-122.5167885,CA North Central,San Francisco to Government Point,California,Mainland,Montara SMR,SMR,Monterey Bay NMS,James V. Fitzgerald Marine Reserve ASBS,17,1,2002,Pisaster ochraceus,20,11,904.8,0.022104332
Fitzgerald Marine Reserve,37.52164671,-122.5167885,CA North Central,San Francisco to Government Point,California,Mainland,Montara SMR,SMR,Monterey Bay NMS,James V. Fitzgerald Marine Reserve ASBS,17,2,2006,Pisaster ochraceus,33,11,880,0.0375
Fitzgerald Marine Reserve,37.52164671,-122.5167885,CA North Central,San Francisco to Government Point,California,Mainland,Montara SMR,SMR,Monterey Bay NMS,James V. Fitzgerald Marine Reserve ASBS,17,3,2011,Pisaster ochraceus,16,11,880,0.018181818
Fitzgerald Marine Reserve,37.52164671,-122.5167885,CA North Central,San Francisco to Government Point,California,Mainland,Montara SMR,SMR,Monterey Bay NMS,James V. Fitzgerald Marine Reserve ASBS,17,4,2014,Pisaster ochraceus,2,11,902.4,0.002216312
Fitzgerald Marine Reserve,37.52164671,-122.5167885,CA North Central,San Francisco to Government Point,California,Mainland,Montara SMR,SMR,Monterey Bay NMS,James V. Fitzgerald Marine Reserve ASBS,17,5,2017,Pisaster ochraceus,9,11,902.4,0.009973404
Fitzgerald Marine Reserve,37.52164671,-122.5167885,CA North Central,San Francisco to Government Point,California,Mainland,Montara SMR,SMR,Monterey Bay NMS,James V. Fitzgerald Marine Reserve ASBS,17,6,2020,Pisaster ochraceus,5,11,902.4,0.00554078
Pigeon Point,37.18512089,-122.3972718,CA Central,San Francisco to Government Point,California,Mainland,.,reference,Monterey Bay NMS,,18,1,2002,Pisaster ochraceus,39,11,732.64,0.053232147
Pigeon Point,37.18512089,-122.3972718,CA Central,San Francisco to Government Point,California,Mainland,.,reference,Monterey Bay NMS,,18,2,2006,Pisaster ochraceus,80,11,705.32,0.113423694
Pigeon Point,37.18512089,-122.3972718,CA Central,San Francisco to Government Point,California,Mainland,.,reference,Monterey Bay NMS,,18,3,2013,Pisaster ochraceus,9,11,694.66,0.012955979
Pigeon Point,37.18512089,-122.3972718,CA Central,San Francisco to Government Point,California,Mainland,.,reference,Monterey Bay NMS,,18,4,2018,Pisaster ochraceus,39,11,732.66,0.053230694
Pigeon Point,37.18512089,-122.3972718,CA Central,San Francisco to Government Point,California,Mainland,.,reference,Monterey Bay NMS,,18,5,2020,Pisaster ochraceus,47,11,734.66,0.063975172
Ano Nuevo,37.11257002,-122.3295639,CA Central,San Francisco to Government Point,California,Mainland,Ano Nuevo SMR,SMR,Monterey Bay NMS,Ano Nuevo Point and Islands ASBS,19,1,2002,Pisaster ochraceus,3,11,1019.2,0.002943485
Ano Nuevo,37.11257002,-122.3295639,CA Central,San Francisco to Government Point,California,Mainland,Ano Nuevo SMR,SMR,Monterey Bay NMS,Ano Nuevo Point and Islands ASBS,19,2,2008,Pisaster ochraceus,12,11,482.4,0.024875622
Ano Nuevo,37.11257002,-122.3295639,CA Central,San Francisco to Government Point,California,Mainland,Ano Nuevo SMR,SMR,Monterey Bay NMS,Ano Nuevo Point and Islands ASBS,19,3,2013,Pisaster ochraceus,2,11,953.6,0.002097315
Ano Nuevo,37.11257002,-122.3295639,CA Central,San Francisco to Government Point,California,Mainland,Ano Nuevo SMR,SMR,Monterey Bay NMS,Ano Nuevo Point and Islands ASBS,19,4,2017,Pisaster ochraceus,6,11,1003.2,0.005980861
Scott Creek,37.04627777,-122.2378577,CA Central,San Francisco to Government Point,California,Mainland,Greyhound Rock SMCA,SMCA,Monterey Bay NMS,,20,1,2003,Pisaster ochraceus,51,11,384.8,0.132536383
Scott Creek,37.04627777,-122.2378577,CA Central,San Francisco to Government Point,California,Mainland,Greyhound Rock SMCA,SMCA,Monterey Bay NMS,,20,2,2006,Pisaster ochraceus,124,11,408.8,0.30332681
Scott Creek,37.04627777,-122.2378577,CA Central,San Francisco to Government Point,California,Mainland,Greyhound Rock SMCA,SMCA,Monterey Bay NMS,,20,3,2016,Pisaster ochraceus,8,11,361.2,0.022148394
Scott Creek,37.04627777,-122.2378577,CA Central,San Francisco to Government Point,California,Mainland,Greyhound Rock SMCA,SMCA,Monterey Bay NMS,,20,4,2017,Pisaster ochraceus,102,11,403.6,0.252725471
Scott Creek,37.04627777,-122.2378577,CA Central,San Francisco to Government Point,California,Mainland,Greyhound Rock SMCA,SMCA,Monterey Bay NMS,,20,5,2018,Pisaster ochraceus,139,11,404.4,0.34371909
Scott Creek,37.04627777,-122.2378577,CA Central,San Francisco to Government Point,California,Mainland,Greyhound Rock SMCA,SMCA,Monterey Bay NMS,,20,6,2020,Pisaster ochraceus,80,11,404,0.198019802
Sandhill Bluff,36.98046659,-122.1549002,CA Central,San Francisco to Government Point,California,Mainland,.,reference,Monterey Bay NMS,,21,1,2004,Pisaster ochraceus,61,11,505.2,0.12074426
Sandhill Bluff,36.98046659,-122.1549002,CA Central,San Francisco to Government Point,California,Mainland,.,reference,Monterey Bay NMS,,21,2,2017,Pisaster ochraceus,13,11,489.2,0.026573998
Terrace Point,36.94851473,-122.0648337,CA Central,San Francisco to Government Point,California,Mainland,Natural Bridges SMR,SMR,Monterey Bay NMS,,22,1,2003,Pisaster ochraceus,41,11,506,0.081027668
Terrace Point,36.94851473,-122.0648337,CA Central,San Francisco to Government Point,California,Mainland,Natural Bridges SMR,SMR,Monterey Bay NMS,,22,2,2006,Pisaster ochraceus,44,11,511.6,0.086004691
Terrace Point,36.94851473,-122.0648337,CA Central,San Francisco to Government Point,California,Mainland,Natural Bridges SMR,SMR,Monterey Bay NMS,,22,3,2015,Pisaster ochraceus,40,11,547.2,0.073099415
Terrace Point,36.94851473,-122.0648337,CA Central,San Francisco to Government Point,California,Mainland,Natural Bridges SMR,SMR,Monterey Bay NMS,,22,4,2016,Pisaster ochraceus,66,11,552,0.119565217
Terrace Point,36.94851473,-122.0648337,CA Central,San Francisco to Government Point,California,Mainland,Natural Bridges SMR,SMR,Monterey Bay NMS,,22,5,2017,Pisaster ochraceus,63,11,560.8,0.112339515
Hopkins,36.62101733,-121.9070136,CA Central,San Francisco to Government Point,California,Mainland,Lovers Point - Julia Platt SMR,SMR,Monterey Bay NMS,Pacific Grove Marine Gardens Fish Refuge and Hopkins Marine Life Refuge ASBS,23,1,2003,Pisaster ochraceus,63,11,514.4,0.122472784
Hopkins,36.62101733,-121.9070136,CA Central,San Francisco to Government Point,California,Mainland,Lovers Point - Julia Platt SMR,SMR,Monterey Bay NMS,Pacific Grove Marine Gardens Fish Refuge and Hopkins Marine Life Refuge ASBS,23,2,2006,Pisaster ochraceus,67,11,475.6,0.140874685
Hopkins,36.62101733,-121.9070136,CA Central,San Francisco to Government Point,California,Mainland,Lovers Point - Julia Platt SMR,SMR,Monterey Bay NMS,Pacific Grove Marine Gardens Fish Refuge and Hopkins Marine Life Refuge ASBS,23,3,2013,Pisaster ochraceus,8,11,496.4,0.016116036
Hopkins,36.62101733,-121.9070136,CA Central,San Francisco to Government Point,California,Mainland,Lovers Point - Julia Platt SMR,SMR,Monterey Bay NMS,Pacific Grove Marine Gardens Fish Refuge and Hopkins Marine Life Refuge ASBS,23,4,2017,Pisaster ochraceus,14,11,518.8,0.026985351
Stillwater,36.56092617,-121.9404356,CA Central,San Francisco to Government Point,California,Mainland,Carmel Bay SMCA,SMCA,Monterey Bay NMS,Carmel Bay ASBS,24,1,2001,Pisaster ochraceus,54,11,283.6,0.190409027
Stillwater,36.56092617,-121.9404356,CA Central,San Francisco to Government Point,California,Mainland,Carmel Bay SMCA,SMCA,Monterey Bay NMS,Carmel Bay ASBS,24,2,2005,Pisaster ochraceus,102,11,297.2,0.34320323
Stillwater,36.56092617,-121.9404356,CA Central,San Francisco to Government Point,California,Mainland,Carmel Bay SMCA,SMCA,Monterey Bay NMS,Carmel Bay ASBS,24,3,2014,Pisaster ochraceus,7,11,288.2,0.024288688
Stillwater,36.56092617,-121.9404356,CA Central,San Francisco to Government Point,California,Mainland,Carmel Bay SMCA,SMCA,Monterey Bay NMS,Carmel Bay ASBS,24,4,2015,Pisaster ochraceus,11,11,294.2,0.037389531
Stillwater,36.56092617,-121.9404356,CA Central,San Francisco to Government Point,California,Mainland,Carmel Bay SMCA,SMCA,Monterey Bay NMS,Carmel Bay ASBS,24,5,2016,Pisaster ochraceus,44,11,292.6,0.15037594
Stillwater,36.56092617,-121.9404356,CA Central,San Francisco to Government Point,California,Mainland,Carmel Bay SMCA,SMCA,Monterey Bay NMS,Carmel Bay ASBS,24,6,2017,Pisaster ochraceus,17,11,296.6,0.057316251
Stillwater,36.56092617,-121.9404356,CA Central,San Francisco to Government Point,California,Mainland,Carmel Bay SMCA,SMCA,Monterey Bay NMS,Carmel Bay ASBS,24,7,2020,Pisaster ochraceus,4,11,295.8,0.01352265
Point Lobos,36.51317422,-121.9446972,CA Central,San Francisco to Government Point,California,Mainland,Point Lobos SMR,SMR,Monterey Bay NMS,Point Lobos Ecological Reserve ASBS,25,2,2005,Pisaster ochraceus,11,9,354.8,0.031003382
Point Lobos,36.51317422,-121.9446972,CA Central,San Francisco to Government Point,California,Mainland,Point Lobos SMR,SMR,Monterey Bay NMS,Point Lobos Ecological Reserve ASBS,25,3,2014,Pisaster ochraceus,7,9,351.2,0.019931663
Point Lobos,36.51317422,-121.9446972,CA Central,San Francisco to Government Point,California,Mainland,Point Lobos SMR,SMR,Monterey Bay NMS,Point Lobos Ecological Reserve ASBS,25,4,2017,Pisaster ochraceus,1,9,341.6,0.002927401
Point Lobos,36.51317422,-121.9446972,CA Central,San Francisco to Government Point,California,Mainland,Point Lobos SMR,SMR,Monterey Bay NMS,Point Lobos Ecological Reserve ASBS,25,5,2020,Pisaster ochraceus,2,9,356.4,0.005611672
Andrew Molera,36.28059854,-121.8631597,CA Central,San Francisco to Government Point,California,Mainland,Point Sur SMR,SMR,Monterey Bay NMS,,26,1,2001,Pisaster ochraceus,38,11,723.3,0.052536983
Andrew Molera,36.28059854,-121.8631597,CA Central,San Francisco to Government Point,California,Mainland,Point Sur SMR,SMR,Monterey Bay NMS,,26,2,2003,Pisaster ochraceus,109,11,851.94,0.127943282
Andrew Molera,36.28059854,-121.8631597,CA Central,San Francisco to Government Point,California,Mainland,Point Sur SMR,SMR,Monterey Bay NMS,,26,3,2004,Pisaster ochraceus,58,11,848.64,0.068344646
Andrew Molera,36.28059854,-121.8631597,CA Central,San Francisco to Government Point,California,Mainland,Point Sur SMR,SMR,Monterey Bay NMS,,26,4,2017,Pisaster ochraceus,75,11,846,0.088652482
Mill Creek,35.97975766,-121.4904643,CA Central,San Francisco to Government Point,California,Mainland,.,reference,Monterey Bay NMS,,27,1,2001,Pisaster ochraceus,119,11,541.2,0.219881744
Mill Creek,35.97975766,-121.4904643,CA Central,San Francisco to Government Point,California,Mainland,.,reference,Monterey Bay NMS,,27,2,2003,Pisaster ochraceus,166,11,568,0.292253521
Mill Creek,35.97975766,-121.4904643,CA Central,San Francisco to Government Point,California,Mainland,.,reference,Monterey Bay NMS,,27,3,2004,Pisaster ochraceus,137,11,565.2,0.242392074
Mill Creek,35.97975766,-121.4904643,CA Central,San Francisco to Government Point,California,Mainland,.,reference,Monterey Bay NMS,,27,4,2017,Pisaster ochraceus,60,11,581.6,0.103163686
Point Sierra Nevada,35.7288309,-121.3184164,CA Central,San Francisco to Government Point,California,Mainland,.,reference,Monterey Bay NMS,,28,1,2001,Pisaster ochraceus,66,11,492,0.134146342
Point Sierra Nevada,35.7288309,-121.3184164,CA Central,San Francisco to Government Point,California,Mainland,.,reference,Monterey Bay NMS,,28,2,2003,Pisaster ochraceus,93,11,518.4,0.179398148
Point Sierra Nevada,35.7288309,-121.3184164,CA Central,San Francisco to Government Point,California,Mainland,.,reference,Monterey Bay NMS,,28,3,2004,Pisaster ochraceus,98,11,510.8,0.191855912
Point Sierra Nevada,35.7288309,-121.3184164,CA Central,San Francisco to Government Point,California,Mainland,.,reference,Monterey Bay NMS,,28,4,2017,Pisaster ochraceus,89,11,510.8,0.174236492
Point Sierra Nevada,35.7288309,-121.3184164,CA Central,San Francisco to Government Point,California,Mainland,.,reference,Monterey Bay NMS,,28,5,2018,Pisaster ochraceus,34,11,433,0.07852194
Point Sierra Nevada,35.7288309,-121.3184164,CA Central,San Francisco to Government Point,California,Mainland,.,reference,Monterey Bay NMS,,28,6,2019,Pisaster ochraceus,14,11,468,0.02991453
Rancho Marino; Cambria,35.54030478,-121.0928466,CA Central,San Francisco to Government Point,California,Mainland,White Rock SMCA,SMCA,,,29,1,2001,Pisaster ochraceus,18,11,532.8,0.033783784
Rancho Marino; Cambria,35.54030478,-121.0928466,CA Central,San Francisco to Government Point,California,Mainland,White Rock SMCA,SMCA,,,29,2,2005,Pisaster ochraceus,76,11,732.62,0.103737272
Cayucos,35.44747093,-120.9500899,CA Central,San Francisco to Government Point,California,Mainland,.,reference,,,30,1,2001,Pisaster ochraceus,11,11,559,0.019677996
Cayucos,35.44747093,-120.9500899,CA Central,San Francisco to Government Point,California,Mainland,.,reference,,,30,2,2008,Pisaster ochraceus,2,11,311.5,0.006420546
