intertidal_sitename,cbsLat,cbsLong,georegion,bioregion,State_Province,Island,MPA_name,MPA_designation,NMS_name,ASBS_name,site_code,survey_rep,year,species_lump,total_count,number_of_quadrats_sampled,total_area_sampled_m2,density_per_m2
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,1,2003,Pachycheles spp,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,1,2003,Pachygrapsus crassipes,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,1,2003,Pagurus beringanus,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,1,2003,Pagurus caurinus,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,1,2003,Pagurus granosimanus,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,1,2003,Pagurus hemphilli,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,1,2003,Pagurus hirsutiusculus,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,1,2003,Pagurus samuelis,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,1,2003,Paraxanthias taylori,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,1,2003,Petrolisthes spp,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,1,2003,Phimochirus californiensis,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,1,2003,Pilumnus spinohirsutus,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,1,2003,Pugettia foliata,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,1,2003,Pugettia gracilis/richii,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,1,2003,Pugettia producta,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,1,2003,Tegula funebralis,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,1,2003,Tegula gallina/funebralis,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,2,2007,Leptasterias spp,41,33,8.25,4.96969697
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,2,2007,Oedignathus inermis,27,33,8.25,3.272727273
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,2,2007,Acanthina paucilirata,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,2,2007,Acanthinucella spp,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,2,2007,Cancer antennarius,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,2,2007,Cancer branneri,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,2,2007,Cancer jordani,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,2,2007,Cancer oregonensis,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,2,2007,Cancer productus,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,2,2007,Cryptolithodes sitchensis,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,2,2007,Cycloxanthops novemdentatus,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,2,2007,Hemigrapsus nudus,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,2,2007,Hemigrapsus oregonensis,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,2,2007,Lophopanopeus bellus,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,2,2007,Loxorhynchus crispatus,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,2,2007,Oregonia gracilis,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,2,2007,Pachycheles spp,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,2,2007,Pachygrapsus crassipes,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,2,2007,Pagurus beringanus,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,2,2007,Pagurus caurinus,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,2,2007,Pagurus granosimanus,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,2,2007,Pagurus hemphilli,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,2,2007,Pagurus hirsutiusculus,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,2,2007,Pagurus samuelis,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,2,2007,Paraxanthias taylori,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,2,2007,Petrolisthes spp,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,2,2007,Phimochirus californiensis,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,2,2007,Pilumnus spinohirsutus,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,2,2007,Pugettia foliata,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,2,2007,Pugettia gracilis/richii,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,2,2007,Pugettia producta,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,2,2007,Tegula funebralis,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,2,2007,Tegula gallina/funebralis,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,1,2003,Leptasterias spp,23,33,8.25,2.787878788
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,1,2003,Oedignathus inermis,5,33,8.25,0.606060606
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,1,2003,Pagurus hirsutiusculus,1,33,8.25,0.121212121
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,1,2003,Acanthina paucilirata,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,1,2003,Acanthinucella spp,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,1,2003,Cancer antennarius,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,1,2003,Cancer branneri,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,1,2003,Cancer jordani,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,1,2003,Cancer oregonensis,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,1,2003,Cancer productus,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,1,2003,Cryptolithodes sitchensis,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,1,2003,Cycloxanthops novemdentatus,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,1,2003,Hemigrapsus nudus,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,1,2003,Hemigrapsus oregonensis,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,1,2003,Lophopanopeus bellus,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,1,2003,Loxorhynchus crispatus,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,1,2003,Oregonia gracilis,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,1,2003,Pachycheles spp,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,1,2003,Pachygrapsus crassipes,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,1,2003,Pagurus beringanus,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,1,2003,Pagurus caurinus,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,1,2003,Pagurus granosimanus,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,1,2003,Pagurus hemphilli,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,1,2003,Pagurus samuelis,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,1,2003,Paraxanthias taylori,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,1,2003,Petrolisthes spp,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,1,2003,Phimochirus californiensis,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,1,2003,Pilumnus spinohirsutus,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,1,2003,Pugettia foliata,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,1,2003,Pugettia gracilis/richii,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,1,2003,Pugettia producta,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,1,2003,Tegula funebralis,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,1,2003,Tegula gallina/funebralis,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,2,2007,Leptasterias spp,46,33,8.25,5.575757576
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,2,2007,Oedignathus inermis,2,33,8.25,0.242424242
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,2,2007,Pagurus hirsutiusculus,1,33,8.25,0.121212121
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,2,2007,Acanthina paucilirata,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,2,2007,Acanthinucella spp,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,2,2007,Cancer antennarius,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,2,2007,Cancer branneri,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,2,2007,Cancer jordani,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,2,2007,Cancer oregonensis,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,2,2007,Cancer productus,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,2,2007,Cryptolithodes sitchensis,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,2,2007,Cycloxanthops novemdentatus,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,2,2007,Hemigrapsus nudus,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,2,2007,Hemigrapsus oregonensis,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,2,2007,Lophopanopeus bellus,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,2,2007,Loxorhynchus crispatus,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,2,2007,Oregonia gracilis,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,2,2007,Pachycheles spp,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,2,2007,Pachygrapsus crassipes,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,2,2007,Pagurus beringanus,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,2,2007,Pagurus caurinus,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,2,2007,Pagurus granosimanus,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,2,2007,Pagurus hemphilli,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,2,2007,Pagurus samuelis,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,2,2007,Paraxanthias taylori,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,2,2007,Petrolisthes spp,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,2,2007,Phimochirus californiensis,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,2,2007,Pilumnus spinohirsutus,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,2,2007,Pugettia foliata,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,2,2007,Pugettia gracilis/richii,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,2,2007,Pugettia producta,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,2,2007,Tegula funebralis,0,33,8.25,0
Yakobi,58.0815,-136.5545333,AK,Alaska to British Columbia,Alaska,Yakobi,,,,,3002,2,2007,Tegula gallina/funebralis,0,33,8.25,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,1,2003,Leptasterias spp,43,33,8.25,5.212121212
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,1,2003,Oedignathus inermis,2,33,8.25,0.242424242
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,1,2003,Pagurus hirsutiusculus,1,33,8.25,0.121212121
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,1,2003,Acanthina paucilirata,0,33,8.25,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,1,2003,Acanthinucella spp,0,33,8.25,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,1,2003,Cancer antennarius,0,33,8.25,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,1,2003,Cancer branneri,0,33,8.25,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,1,2003,Cancer jordani,0,33,8.25,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,1,2003,Cancer oregonensis,0,33,8.25,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,1,2003,Cancer productus,0,33,8.25,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,1,2003,Cryptolithodes sitchensis,0,33,8.25,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,1,2003,Cycloxanthops novemdentatus,0,33,8.25,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,1,2003,Hemigrapsus nudus,0,33,8.25,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,1,2003,Hemigrapsus oregonensis,0,33,8.25,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,1,2003,Lophopanopeus bellus,0,33,8.25,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,1,2003,Loxorhynchus crispatus,0,33,8.25,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,1,2003,Oregonia gracilis,0,33,8.25,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,1,2003,Pachycheles spp,0,33,8.25,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,1,2003,Pachygrapsus crassipes,0,33,8.25,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,1,2003,Pagurus beringanus,0,33,8.25,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,1,2003,Pagurus caurinus,0,33,8.25,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,1,2003,Pagurus granosimanus,0,33,8.25,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,1,2003,Pagurus hemphilli,0,33,8.25,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,1,2003,Pagurus samuelis,0,33,8.25,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,1,2003,Paraxanthias taylori,0,33,8.25,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,1,2003,Petrolisthes spp,0,33,8.25,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,1,2003,Phimochirus californiensis,0,33,8.25,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,1,2003,Pilumnus spinohirsutus,0,33,8.25,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,1,2003,Pugettia foliata,0,33,8.25,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,1,2003,Pugettia gracilis/richii,0,33,8.25,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,1,2003,Pugettia producta,0,33,8.25,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,1,2003,Tegula funebralis,0,33,8.25,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,1,2003,Tegula gallina/funebralis,0,33,8.25,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,2,2018,Leptasterias spp,48,18,4.5,10.66666667
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,2,2018,Oedignathus inermis,6,18,4.5,1.333333333
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,2,2018,Acanthina paucilirata,0,18,4.5,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,2,2018,Acanthinucella spp,0,18,4.5,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,2,2018,Cancer antennarius,0,18,4.5,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,2,2018,Cancer branneri,0,18,4.5,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,2,2018,Cancer jordani,0,18,4.5,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,2,2018,Cancer oregonensis,0,18,4.5,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,2,2018,Cancer productus,0,18,4.5,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,2,2018,Cryptolithodes sitchensis,0,18,4.5,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,2,2018,Cycloxanthops novemdentatus,0,18,4.5,0
Port Mary,57.15423333,-135.7545167,AK,Alaska to British Columbia,Alaska,Kruzoff,,,,,3003,2,2018,Hemigrapsus nudus,0,18,4.5,0
